127.0.0.1 - - [12/Nov/2018:13:57:03 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:57:03 +0100] "GET /HelloMVC/ HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:58:00 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:58:50 +0100] "GET /HelloMVC/ HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:34 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:34 +0100] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:34 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:41 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:41 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:42 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:44 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:44 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:44 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:45 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [12/Nov/2018:14:04:48 +0100] "GET /HelloMVC/usuario HTTP/1.1" 200 304
